dates/tags 1 2 3 4 5 6 7 8 9 10 11 12 
19910201 nah valid nah nah nah nah nah nah nah nah nah nah
19910202 nah valid nah nah nah nah nah nah nah nah nah nah
19910203 nah valid nah nah nah nah nah nah nah nah nah nah
19910204 nah valid nah nah nah nah nah nah nah nah nah nah
19910205 nah valid nah nah nah nah nah nah nah nah nah nah
19910206 nah valid nah nah nah nah nah nah nah nah nah nah
19910207 nah valid nah nah nah nah nah nah nah nah nah nah
19910208 nah valid nah nah nah nah nah nah nah nah nah nah
19910209 nah valid nah nah nah nah nah nah nah nah nah nah
19910210 nah valid nah nah nah nah nah nah nah nah nah nah
19910211 nah valid nah nah nah nah nah nah nah nah nah nah
19910212 nah valid nah nah nah nah nah nah nah nah nah nah
19910213 nah valid nah nah nah nah nah nah nah nah nah nah
19910214 nah valid nah nah nah nah nah nah nah nah nah nah
19910215 nah valid nah nah nah nah nah nah nah nah nah nah
19910216 nah valid nah nah nah nah nah nah nah nah nah nah
19910217 nah valid nah nah nah nah nah nah nah nah nah nah
19910218 nah valid nah nah nah nah nah nah nah nah nah nah
19910219 nah valid nah nah nah nah nah nah nah nah nah nah
19910220 nah valid nah nah nah nah nah nah nah nah nah nah
19910221 nah valid nah nah nah nah nah nah nah nah nah nah
19910222 nah valid nah nah nah nah nah nah nah nah nah nah
19910223 nah valid nah nah nah nah nah nah nah nah nah nah
19910224 nah valid nah nah nah nah nah nah nah nah nah nah
19910225 nah valid nah nah nah nah nah nah nah nah nah nah
19910226 nah valid nah nah nah nah nah nah nah nah nah nah
19910227 nah valid nah nah nah nah nah nah nah nah nah nah
19910228 nah valid nah nah nah nah nah nah nah nah nah nah
19910301 nah valid valid nah nah nah nah nah nah nah nah nah
19910302 nah valid valid nah nah nah nah nah nah nah nah nah
19910303 nah valid valid nah nah nah nah nah nah nah nah nah
19910304 nah valid valid nah nah nah nah nah nah nah nah nah
19910305 nah valid valid nah nah nah nah nah nah nah nah nah
19910306 nah valid valid nah nah nah nah nah nah nah nah nah
19910307 nah valid valid nah nah nah nah nah nah nah nah nah
19910308 nah valid valid nah nah nah nah nah nah nah nah nah
19910309 nah valid valid nah nah nah nah nah nah nah nah nah
19910310 nah valid valid nah nah nah nah nah nah nah nah nah
19910311 nah valid valid nah nah nah nah nah nah nah nah nah
19910312 nah valid valid nah nah nah nah nah nah nah nah nah
19910313 nah valid valid nah nah nah nah nah nah nah nah nah
19910314 nah valid valid nah nah nah nah nah nah nah nah nah
19910315 nah valid valid nah nah nah nah nah nah nah nah nah
19910316 nah valid valid nah nah nah nah nah nah nah nah nah
19910317 nah valid valid nah nah nah nah nah nah nah nah nah
19910318 nah valid valid nah nah nah nah nah nah nah nah nah
19910319 nah valid valid nah nah nah nah nah nah nah nah nah
19910320 nah valid valid nah nah nah nah nah nah nah nah nah
19910321 nah valid valid nah nah nah nah nah nah nah nah nah
19910322 nah valid valid nah nah nah nah nah nah nah nah nah
19910323 nah valid valid nah nah nah nah nah nah nah nah nah
19910324 nah valid valid nah nah nah nah nah nah nah nah nah
19910325 nah valid valid nah nah nah nah nah nah nah nah nah
19910326 nah valid valid nah nah nah nah nah nah nah nah nah
19910327 nah valid valid nah nah nah nah nah nah nah nah nah
19910328 nah valid valid nah nah nah nah nah nah nah nah nah
19910329 nah valid valid nah nah nah nah nah nah nah nah nah
19910330 nah valid valid nah nah nah nah nah nah nah nah nah
19910331 nah valid valid nah nah nah nah nah nah nah nah nah
19910401 nah valid valid valid nah nah nah nah nah nah nah nah
19910402 nah valid valid valid nah nah nah nah nah nah nah nah
19910403 nah valid valid valid nah nah nah nah nah nah nah nah
19910404 nah valid valid valid nah nah nah nah nah nah nah nah
19910405 nah valid valid valid nah nah nah nah nah nah nah nah
19910406 nah valid valid valid nah nah nah nah nah nah nah nah
19910407 nah valid valid valid nah nah nah nah nah nah nah nah
19910408 nah valid valid valid nah nah nah nah nah nah nah nah
19910409 nah valid valid valid nah nah nah nah nah nah nah nah
19910410 nah valid valid valid nah nah nah nah nah nah nah nah
19910411 nah valid valid valid nah nah nah nah nah nah nah nah
19910412 nah valid valid valid nah nah nah nah nah nah nah nah
19910413 nah valid valid valid nah nah nah nah nah nah nah nah
19910414 nah valid valid valid nah nah nah nah nah nah nah nah
19910415 nah valid valid valid nah nah nah nah nah nah nah nah
19910416 nah valid valid valid nah nah nah nah nah nah nah nah
19910417 nah valid valid valid nah nah nah nah nah nah nah nah
19910418 nah valid valid valid nah nah nah nah nah nah nah nah
19910419 nah valid valid valid nah nah nah nah nah nah nah nah
19910420 nah valid valid valid nah nah nah nah nah nah nah nah
19910421 nah valid valid valid nah nah nah nah nah nah nah nah
19910422 nah valid valid valid nah nah nah nah nah nah nah nah
19910423 nah valid valid valid nah nah nah nah nah nah nah nah
19910424 nah valid valid valid nah nah nah nah nah nah nah nah
19910425 nah valid valid valid nah nah nah nah nah nah nah nah
19910426 nah valid valid valid nah nah nah nah nah nah nah nah
19910427 nah valid valid valid nah nah nah nah nah nah nah nah
19910428 nah valid valid valid nah nah nah nah nah nah nah nah
