dates     glaicer snow_cover sd t2m tp sden z sdor lsm pt
19910201: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910202: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910203: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910204: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910205: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910206: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910207: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910208: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910209: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910210: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910211: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910212: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910213: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910214: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910215: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910216: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910217: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910218: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910219: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910220: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910221: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910222: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910223: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910224: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910225: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910226: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910227: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910228: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910301: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910302: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910303: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910304: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910305: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910306: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910307: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910308: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910309: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910310: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910311: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910312: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910313: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910314: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910315: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910316: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910317: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910318: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910319: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910320: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910321: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910322: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910323: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910324: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910325: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910326: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910327: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910328: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910329: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910330: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910331: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910401: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910402: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910403: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910404: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910405: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910406: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910407: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910408: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910409: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910410: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910411: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910412: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910413: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910414: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910415: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910416: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910417: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910418: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910419: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910420: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910421: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910422: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910423: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910424: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910425: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910426: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910427: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910428: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910429: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910430: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910501: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910502: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910503: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910504: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910505: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910506: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910507: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910508: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910509: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910510: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910511: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910512: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910513: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910514: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910515: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910516: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910517: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910518: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910519: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910520: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910521: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910522: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910523: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910524: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910525: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910526: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910527: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910528: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910529: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910530: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910531: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910601: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910602: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910603: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910604: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910605: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910606: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910607: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910608: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910609: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910610: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910611: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910612: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910613: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910614: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910615: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910616: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910617: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910618: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910619: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910620: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910621: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910622: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910623: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910624: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910625: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910626: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910627: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910628: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910629: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910630: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910701: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910702: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910703: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910704: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910705: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910706: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910707: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910708: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910709: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910710: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910711: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910712: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910713: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910714: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910715: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910716: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910717: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910718: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910719: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910720: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19910721: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
