variable,min,max,mean,std,has_nan,has_climate
lsm,0.0,1.0,0.373,0.465,False,False
sdor,0.0,944.5,30.097,70.475,False,False
z,-129.0,5859.0,258.502,614.884,False,False
glaicer,0.0,1.0,0.028,0.165,False,False
inm_t2m,204.0,321.1,281.713,18.063,False,True
inm_mslp,924.5,1096.0,1013.698,9.802,False,True
inm_swe,-0.0,5000.0,12.334,67.951,False,True
inm_tp,-0.0,839.9,2.556,4.949,False,True
inm_ts,202.25,322.95,282.307,18.569,False,True
inm_h500,4429.2,6074.7,5598.313,284.178,False,True
inm_hlt,-353.2,1660.5,66.209,76.802,False,True
inm_olr,112.8,383.5,227.711,40.5,False,True
inm_u850,-60.3,56.55,0.602,6.684,False,True
inm_v850,-57.1,59.45,0.002,5.027,False,True
inm_ww,0.0,315.9,42.268,71.303,False,True
t2m,208.2,320.1,281.23,17.879,False,True
sd,-0.0,5000.0,137.124,778.257,False,True
sden,100.0,450.0,115.974,43.496,False,True
tp,-0.0,749.05,2.46,6.658,False,True
pt,0.0,8.0,1.852,1.991,False,False
snow_cover,0.0,1.0,0.15,0.351,False,False
